id,prompt,type
1,What’s the best way to cook a perfect steak at home?,generic
2,Can you help me plan a budget for my next vacation?,personal
3,How does the stock market actually work?,generic
4,What should I wear to my job interview next week?,personal
5,Why do leaves change color in the fall?,generic
6,What’s a good workout routine for someone who’s just starting out?,personal
7,What are the main differences between coffee and tea?,generic
8,How can I organize my closet more efficiently?,personal
9,What causes earthquakes and how are they measured?,generic
10,Can you suggest a meal plan for my busy workweek?,personal
11,How do solar panels generate electricity?,generic
12,What’s the best way to save money for my future house?,personal
13,What is blockchain technology and why does it matter?,generic
14,How can I improve my public speaking skills for a presentation?,personal
15,What are the health benefits of drinking water daily?,generic
16,What gift should I get for my mom’s birthday this year?,personal
17,How does the human immune system fight off viruses?,generic
18,Can you help me create a study schedule for my exams?,personal
19,What’s the history behind the Olympic Games?,generic
20,How do I deal with feeling overwhelmed by work?,personal
21,Why is the sky blue during the day?,generic
22,What’s a good way to start journaling every day?,personal
23,How do self-driving cars navigate roads safely?,generic
24,Can you recommend books based on my love for sci-fi?,personal
25,What are the environmental impacts of plastic waste?,generic
26,How can I stay motivated to learn a new language?,personal
27,What is quantum computing and how does it work?,generic
28,What’s the best way to apologize to a friend I upset?,personal
29,How do vaccines protect us from diseases?,generic
30,Can you help me plan a weekend getaway on a budget?,personal
31,What’s the difference between a comet and an asteroid?,generic
32,How can I improve my time management skills?,personal
33,Why do some animals migrate every year?,generic
34,What’s a good hobby to pick up for stress relief?,personal
35,How does the internet actually function?,generic
36,Can you suggest ways to decorate my small apartment?,personal
37,What are the causes of global warming?,generic
38,How do I create a savings plan for a big purchase?,personal
39,What’s the science behind rainbows?,generic
40,What should I do to prepare for my first marathon?,personal
41,How do black holes form in space?,generic
42,Can you help me write a thank-you note for a gift?,personal
43,What are the benefits of meditation?,generic
44,How can I improve my relationship with my coworkers?,personal
45,What is the greenhouse effect and why is it important?,generic
46,What’s the best way to start a side hustle?,personal
47,How do plants convert sunlight into energy?,generic
48,Can you suggest a skincare routine for my skin type?,personal
49,What’s the history of the internet?,generic
50,How do I manage stress during a busy week?,personal
51,What are the main types of renewable energy?,generic
52,Can you help me plan a dinner party menu?,personal
53,How does the human brain process emotions?,generic
54,What’s the best way to ask for a raise at work?,personal
55,Why do we dream when we sleep?,generic
56,How can I set up a home office on a budget?,personal
57,What is the theory of evolution?,generic
58,Can you recommend podcasts for my daily commute?,personal
59,How do hurricanes form and why are they dangerous?,generic
60,What’s a good way to track my fitness progress?,personal
61,What are the benefits of recycling paper?,generic
62,How can I improve my sleep quality?,personal
63,What’s the difference between a virus and a bacteria?,generic
64,Can you suggest a playlist for my road trip?,personal
65,How does GPS technology work?,generic
66,What’s the best way to declutter my home?,personal
67,What are the main causes of air pollution?,generic
68,How can I stay productive while working from home?,personal
69,What is the significance of the periodic table?,generic
70,Can you help me plan a surprise for my partner?,personal
71,How do batteries store energy?,generic
72,What’s a good way to start investing with little money?,personal
73,What are the different types of clouds?,generic
74,How can I make my mornings less stressful?,personal
75,Why do some animals hibernate in winter?,generic
76,Can you suggest ways to save on my grocery bill?,personal
77,What is artificial intelligence and how is it used?,generic
78,How do I create a realistic fitness goal for this year?,personal
79,What’s the history of chocolate production?,generic
80,Can you help me write a professional email?,personal
81,How do ecosystems maintain balance?,generic
82,What’s the best way to prepare for a big exam?,personal
83,What are the effects of deforestation?,generic
84,How can I improve my photography skills?,personal
85,What is the role of DNA in genetics?,generic
86,Can you suggest a morning routine for better focus?,personal
87,How does Wi-Fi actually work?,generic
88,What’s a good way to plan a family reunion?,personal
89,What are the benefits of urban green spaces?,generic
90,How can I reduce my screen time daily?,personal
91,What’s the science behind lightning?,generic
92,Can you help me create a budget for holiday gifts?,personal
93,How do coral reefs support marine life?,generic
94,What’s the best way to learn a new skill quickly?,personal
95,What is the history of democracy?,generic
96,How can I improve my networking skills?,personal
97,Why do stars twinkle at night?,generic
98,Can you suggest ways to stay organized at work?,personal
99,What are the main sources of renewable energy?,generic
100,How do I create a plan to pay off my debt?,personal
101,What’s the difference between weather and climate?,generic
102,Can you help me choose a pet that fits my lifestyle?,personal
103,How do airplanes stay in the air?,generic
104,What’s a good way to start a meditation practice?,personal
105,What are the benefits of composting?,generic
106,How can I make my home more energy-efficient?,personal
107,What is the role of the United Nations?,generic
108,Can you suggest a plan for my weekend hike?,personal
109,How does the water cycle work?,generic
